W1	W1
UNTR_d8_LJ_F_a17	UNTR_LJ_during
UNTR_d8_LJ_F_a18	UNTR_LJ_during
UNTR_d8_LJ_F_a19	UNTR_LJ_during
UNTR_d8_LJ_F_a20	UNTR_LJ_during
UNTR_d10_GR_M_a1	UNTR_GR_during
UNTR_d10_GR_M_a2	UNTR_GR_during
UNTR_d10_GR_M_a3	UNTR_GR_during
UNTR_d10_GR_M_a4	UNTR_GR_during
UNTR_d10_GR_M_a5	UNTR_GR_during
UNTR_d10_GR_M_a6	UNTR_GR_during
UNTR_d10_GR_M_a7	UNTR_GR_during
UNTR_d10_GR_M_a8	UNTR_GR_during
UNTR_d10_GR_M_a9	UNTR_GR_during
UNTR_d10_GR_M_a10	UNTR_GR_during
UNTR_d10_GR_F_a11	UNTR_GR_during
UNTR_d10_GR_F_a12	UNTR_GR_during
UNTR_d10_GR_F_a13	UNTR_GR_during
UNTR_d10_GR_F_a14	UNTR_GR_during
UNTR_d10_GR_F_a15	UNTR_GR_during
UNTR_d10_GR_F_a16	UNTR_GR_during
UNTR_d10_GR_F_a17	UNTR_GR_during
UNTR_d10_GR_F_a18	UNTR_GR_during
UNTR_d10_GR_F_a19	UNTR_GR_during
UNTR_d10_GR_F_a20	UNTR_GR_during
UNTR_d10_LJ_M_a1	UNTR_LJ_during
UNTR_d10_LJ_M_a2	UNTR_LJ_during
UNTR_d10_LJ_M_a3	UNTR_LJ_during
UNTR_d10_LJ_M_a4	UNTR_LJ_during
UNTR_d10_LJ_M_a5	UNTR_LJ_during
UNTR_d10_LJ_M_a6	UNTR_LJ_during
UNTR_d10_LJ_M_a7	UNTR_LJ_during
UNTR_d10_LJ_M_a8	UNTR_LJ_during
UNTR_d10_LJ_M_a10	UNTR_LJ_during
UNTR_d10_LJ_F_a11	UNTR_LJ_during
UNTR_d10_LJ_F_a12	UNTR_LJ_during
UNTR_d10_LJ_F_a13	UNTR_LJ_during
UNTR_d10_LJ_F_a14	UNTR_LJ_during
UNTR_d10_LJ_F_a15	UNTR_LJ_during
UNTR_d10_LJ_F_a16	UNTR_LJ_during
UNTR_d10_LJ_F_a17	UNTR_LJ_during
UNTR_d10_LJ_F_a18	UNTR_LJ_during
UNTR_d10_LJ_F_a19	UNTR_LJ_during
UNTR_d10_LJ_F_a20	UNTR_LJ_during
CMT_d30_GR_M_a61	CMT_GR_after
CMT_d30_GR_M_a62	CMT_GR_after
CMT_d30_GR_M_a63	CMT_GR_after
CMT_d30_GR_M_a64	CMT_GR_after
CMT_d30_GR_M_a65	CMT_GR_after
CMT_d30_GR_M_a66	CMT_GR_after
CMT_d30_GR_M_a67	CMT_GR_after
CMT_d30_GR_M_a68	CMT_GR_after
CMT_d30_GR_M_a69	CMT_GR_after
CMT_d30_GR_M_a70	CMT_GR_after
CMT_d30_GR_F_a71	CMT_GR_after
CMT_d30_GR_F_a72	CMT_GR_after
CMT_d30_GR_F_a73	CMT_GR_after
CMT_d30_GR_F_a74	CMT_GR_after
CMT_d30_GR_F_a75	CMT_GR_after
CMT_d30_GR_F_a76	CMT_GR_after
CMT_d30_GR_F_a77	CMT_GR_after
CMT_d30_GR_F_a78	CMT_GR_after
CMT_d30_GR_F_a79	CMT_GR_after
CMT_d30_GR_F_a80	CMT_GR_after
CMT_d30_LJ_M_a61	CMT_LJ_after
CMT_d30_LJ_M_a62	CMT_LJ_after
CMT_d30_LJ_M_a63	CMT_LJ_after
CMT_d30_LJ_M_a64	CMT_LJ_after
CMT_d30_LJ_M_a65	CMT_LJ_after
CMT_d30_LJ_M_a66	CMT_LJ_after
CMT_d30_LJ_M_a67	CMT_LJ_after
CMT_d30_LJ_M_a68	CMT_LJ_after
CMT_d30_LJ_M_a69	CMT_LJ_after
CMT_d30_LJ_M_a70	CMT_LJ_after
CMT_d30_LJ_F_a71	CMT_LJ_after
CMT_d30_LJ_F_a72	CMT_LJ_after
CMT_d30_LJ_F_a73	CMT_LJ_after
CMT_d30_LJ_F_a74	CMT_LJ_after
CMT_d30_LJ_F_a75	CMT_LJ_after
CMT_d30_LJ_F_a76	CMT_LJ_after
CMT_d30_LJ_F_a77	CMT_LJ_after
CMT_d30_LJ_F_a78	CMT_LJ_after
CMT_d30_LJ_F_a79	CMT_LJ_after
CMT_d30_LJ_F_a80	CMT_LJ_after
CMT_d60_GR_M_a61	CMT_GR_after
CMT_d60_GR_M_a62	CMT_GR_after
CMT_d60_GR_M_a63	CMT_GR_after
CMT_d60_GR_M_a64	CMT_GR_after
